,year,month,author_name,paper_title,process,CW Performance,frequency,Psat (dBm),PAEmax (%),PA Efficieny Note,P1dB (dBm),PAE_1dB (%),Gain (dB),RF PA Modulations,EVM (dB),Modulation Speed (Msym/s),Average Pout (dBm),Average PAE (%),RF PA Note (Modulation Type),PA_type,node
332,2020,9,Yang,A Generalized High-Efficiency Broadband Class-E/F3 Power Amplifier Based on Design Space Expanding of Load Network,GaN,1.7 GHz -2.6 GHz,2.0,39.2,75.1,PAE,,,16,,,,,,,,Cree CGH40010F
333,2020,4,Zhang,Design of a Broadband High-Efficiency Hybrid Class-EFJ Power Amplifier,GaN,,2.0,41.7,65,DE,,,25,,,,,,,,HEMTs CGH40010F
334,2020,2,Liu,Bandwidth Enhancement of Frequency Dispersive Doherty Power Amplifier,GaN,,2.0,42.1,62,DE,,,10,,,,,,,,Wolfspeed CGH40006S
335,2020,9,Zhang,A Broadband High-Efficiency Power Amplifier by Using Branch Line Coupler,GaN,1.0-3.0,2.0,41.9,69,DE,,,10.5,5MHz 6.5-dB PAPR,,,35.5,32.5 (DE),W-CDMA,,Wolfspeed CGH40010F
336,2020,7,Dhar,Input-Harmonic-Controlled Broadband Continuous Class-F Power Amplifiers for Sub-6-GHz 5G Applications,GaN,,2.0,54,69,DE,,,18,LTE,,,46,47.5,20 MHz LTE,,25-mm GaN Power Device
337,2020,7,Cao,Pseudo-Doherty Load-Modulated Balanced Amplifier With Wide Bandwidth and Extended Power Back-Off Range,GaN,,2.0,43,58.3,DE,,,6.6,LTE,,,33.5,47(DE),LTE,,Wolfspeed CGH40006P
338,2021,1,Bidgoli,Multioctave Power Amplifier Design Using 9:1 Planar Impedance Transformer ,GaN ,0.5-3,2.0,45,53,PAE,,,10.5,,,,,,,,CGH40045
339,2021,3,Niida ,A 0.6-2.1-GHz Wideband GaN High-Power Amplifier Using Transmission-Line-Transformer-Based Differential-Mode Combiner With Second-Harmonic Surpression,GaN ,0.6-2.1,2.0,54,34,PAE,,,10,,,,,,,,In house 0.25um GaN 
340,2021,4,Xu,Enhancing Bandwidth and Back-off Range of Doherty Power Amplifier With Modified Load Modulation Network,GaN,1.4-2.5,2.0,46,70,DE,,,12.5,9 dB PAPR OFDM,,20,36.8,53,,,Wolfspeed CGH40010F/ Wolfspeed CGH40025F
341,2021,3,Zhou,Broadband Doherty Power Amplifier Based on Coupled Phase Compensation Network,GaN ,1.3-2.3,2.0,44,75,DE,,,12,W-CDMA,,20,,,,,Cree CGH40010F
342,2021,5,Ghazizadeh,Design of a 50-W Power Amplifier With Two-Octave Bandwidth and High-Efficiency Using a Systematic Optimization Approach,GaN ,0.8-3.2,2.0,48.5,58,DE,,,12.5,,,,,,,,Wolfspeed 25W/45W GaN
343,2021,6,Liu,Peak-Current-Ratio-Enhanced Compact Symmetrical Doherty Amplifier Design by Using Active Harmonic Control,GaN,2,2.0,42.98,74,DE,,,12.1,W-CDMA,,5,36.4,65.1,,,Wolfspeed CGH40006S
344,2021,6,Liu,Peak-Current-Ratio-Enhanced Compact Symmetrical Doherty Amplifier Design by Using Active Harmonic Control,GaN,2,2.0,42.98,74,DE,,,12.1,LTE,,20,32,53.2,,,Wolfspeed CGH40006S
345,2021,6,Cao,Hybrid Asymmetrical Load Modulated Balanced Amplifier With Wide Bandwidth and Three-way-doherty Efficiency Enhancement,GaN,0.55-2.2,2.0,43,59,DE,,,,,,,,,,,Wolfspeed CGH40010
346,2021,6,Sharma,Novel Continuous Inverse Class F Power Amplifier for High Power 5G Macro Base Station Application,GaN,1.8-2.2,2.0,55,62.6,DE,,,17.16,,,,,,,,24mm GaN
347,2021,6,Sharma,Novel Continuous Inverse Class F Power Amplifier for High Power 5G Macro Base Station Application,GaN,1.8-2.2,2.0,54.07,71.59,DE,,,18.68,,,,,,,,24mm GaN
348,2021,1,Tanaka,2-GHz Class-E Power Amplifier Using a Compact Redundancy-Free Harmonic Tuning Circuit,GaN,2 GHz,2.0,38.6,74,PAE,,,18,,,,,,,Analog,HEMT CGH40006P
349,2021,6,Sharma,Novel Continuous Inverse Class F Power Amplifier for High Power 5G Macro Base Station Application,GaN,1.8 - 2.2 GHz,2.0,54,70,DE,,,20.5,,,,,,,Analog,NXP GaN
350,2021,6,Sharma,Novel Continuous Inverse Class F Power Amplifier for High Power 5G Macro Base Station Application,GaN,1.8 - 2.2 GHz,2.0,54,70,DE,,,21.2,,,,,,,Analog,NXP GaN
351,2022,4,Eltayeb ,Analog Linearization of a 1-W GaN Power Amplifier by Baseband Feedback,GaN ,2,2.0,39,,,,,17,1MHz 16QAM,-32,1,,,,,
352,2022,1,Chu,Class-iF-1: Linearity Enhanced High Efficiency Power Amplifier,GaN ,2,2.0,41,75,DE,,,15.5,5-carrier 100MHz LTE,,,30.74,30.68,,,
353,2022,7,Zhou,Design of a Compact GaN Power Amplifier with High Efficiency and beyond Decade Bandwidth,GaN ,2,2.0,40,55,DE,,,10,20MHz LTE,,20,35.2,33 (DE),,,
354,2022,6,Roberg,A 50 W 1-6 GHz GaN MMIC Power Amplifier Module with Greater than 30% Power Added Efficiency,GaN ,2,2.0,47.6,34,PAE,,,32,,,,,,,,
355,2022,6,Chu,Investigation of Input Nonlinaerity in Sequential Load Modulated Balanced Amplifiers,GaN,2,2.0,46,62,DE,,,10,100 MHz 5 carrier LTE,,100,38.2,54.8(DE),,,
356,2022,6,Zhou,Design of a Compact GaN Power Amplifier With High Efficiency and Beyond Decade Bandwidth,GaN,0.35 - 3.55,2.0,44,50,DE,,,10,LTE,,20,35.2,33 (DE),,,CG2H40010F
357,2022,6,Liu,Impact of Nonideal Auxiliary Current Profile on Linearity of Microwave Doherty Amplifiers: Theory and Experiments,GaN,2,2.0,42.4,73,DE,,,11,LTE,-29.9,20,34,49.9 (DE),,,CGH40006S
358,2022,6,Pour,Design and Performance Investigation of a Temperature Compensated Transmitter With GaN HEMTs for Phased-Array Applications,GaN,2-2.1,2.02,34,60,PAE,,,30,64 QAM,-33,120,,,,,
359,2018,10,Zhao,Doherty Transmitter Based on Monopole Array Antenna Active Load Modulation,Cree 40010F,,2.05,44,62,PAE,,,11,,,,,,,,
360,2012,12,Andersson,Theory and Design of Class-J Power Amplifiers With Dynamic Load Modulation,GaN,,2.08,38,55,PAE,35,50,,,,,,,,,GaN HEMT
361,2016,8,Cheng,Two-Stage High-Efficiency Concurrent Dual-Band Harmonic-Tuned Power Amplifier,GaN,,2.08,40,73,PAE,11,42,22,,,,34,50.5,WCDMA,,a Cree HEMT (CGH40010F)
362,2016,10,Cheng,Two-Stage High-Efficiency Concurrent Dual-Band Harmonic-Tuned Power Amplifier,GaN,,2.08,40,73,PAE,35,60,22,,,,,,,,GaN HEMT
363,2020,1,Liang,Optimal Two-Way Hybrid Doherty-Outphasing Power Amplifier,GaN,2.08GHz,2.08,45.12,52.3,PAE,,,12.9,20M LTE,,,35.3,52.3,LTE,,Wolfspeed CGH40010 
364,2012,6,Mimis,Continuous Harmonically Tuned Class-B Power Amplifier : A Closed Form Equation Design Approach,GaN ,,2.1,40,72.8,PAE,,,15,,,,,,,,GaN HEMT
365,2013,6,Nghiem,Design of a Concurrent Quad-band GaN-HEMT Doherty Power Amplifier for Wireless Applications,GaN,,2.1,42,36,PAE,,,8,,,,,,,,GaN
366,2013,6,Giofre,A Doherty Amplifier with maximally flat efficiency in the bandwidth,GaN ,,2.1,41,66,DE,,,,,,,39.5,50(DE),WiMax 64 QAM,,GaN HEMTs
367,2013,4,Mohamed,Reconfigurable Doherty Power Amplifier for Multifrequency Wireless Radio Systems,GaN,,2.1,40.5,65.1,PAE,,,13,,,,,,,,GaN HEMT
368,2013,10,Huang,Design of Broadband Linear and Efficient Power Amplifier for Long-Term Evolution Applications,GaN,,2.1,,,,,,,,,,38,51,LTE,,GaN
369,2015,6,Chen,Broadband High-Efficiency Power Amplifiers Design Based on Hybrid Continuous Modes Utilizing the Optimal Impedances at Package Plane,GaN ,,2.1,36.4,50.2,DE,,,,,,,36.4,50.2(DE),WCDMA,,GaN HEMT
370,2015,9,Ma,A Broadband Highly Efficient Harmonic-Tuned Power Amplifier Exploiting Compact Matching Network,GaN,1.7-3.1,2.1,42.3,79.49,DE,,,,,,,,,,,
371,2016,6,Chen,A Bandwidth Enhanced Doherty Power Amplifier With a Compact Output Combiner,GaN ,,2.1,44.5,70,DE,,,10,,,,,,,,GaN HEMT
372,2016,1,Pang,Design of a Post-Matching Asymmetric Doherty Power Amplifier for Broadband Applications,GaN ,,2.1,44,61,DE,,,,,,5 MHz,36.5,,WCDMA,,GaN HEMT
373,2016,5,Abadi,Doherty Power Amplifier With Extended Bandwidth and Improved Linearizability Under Carrier-Aggregated Signal Stimuli,GaN ,,2.1,43,68,DE,,,10.2,,,15 MHz,33.6,41(DE),LTE,,GaN HEMT 
374,2017,6,Hajji,"85W Pavg, 500W Peak Power, 1.8-2.2GHz Wideband GaN Doherty Power Amplifier",GaN ,,2.1,,,,,,14.5,,,,49.3,49(DE),WCDMA,,GaN on SiC
375,2018,6,Saad,Ultra-Wideband Doherty-Like Power Amplifier,GaN,,2.1,47.2,60,DE,,,6,,,,37,45(DE),LTE (10Mhz),,GaN
376,2018,3,Quaglia,A Load Modulated Balanced Amplifier for Telecom Applications,GaN,,2.1,47,58,PAE,16,58,13,,,,40,43,LTE (20Mhz),,GaN
377,2018,6,Zhou,Broadband High Efficiency Post-matching Doherty Power Amplifier Based on Mixed-Topology,GaN,,2.1,42.9,83,DE,,,9.5,,,,,,,,GaN
378,2018,2,Li,Multiband and Multimode Concurrent PA With Novel Intermodulation Tuning Network for Linearity Improvement,GaN,,2.1,42.2,72,PAE,,,,,,,,,,, GaN HEMT CGH40010P
379,2018,6,Saad,Ultra-Wideband Doherty-Like Power Amplifier,GaN,,2.1,47.4,60,DE,,,11,,,50,37,50(DE),five 10 MHz LTE carriers with 9 dB PAPR,," 6 W GaN-HEMT device, CGHV1F006S"
380,2018,6,Zhou,Broadband High Efficiency Post-matching Doherty Power Amplifier Based on Mixed-Topology,GaN,,2.1,42.5,84,DE,,,30,,,WCDMA 3GPP,,,,,
381,2018,12,Duffy,Efficient Multisignal 2–4-GHz Power Amplifier With Power Tracking,GaN,2-4,2.1,35.5,55,DE,,,6,LTE (10Mhz),,,,,,,
382,2018,3,Li,Multiband and Multimode Concurrent PA With Novel Intermodulation Tuning Network for Linearity Improvement,GaN HEMT CGH40010P,,2.1,42.2,72,PAE,,,,10 MHz LTE,,,35,36.4,ACPR<-45dBc,,
383,2018,5,Yu,A broadband Doherty power amplifier based on rotated T-shape load modulation network,GaN,,2.1,43.1,82.4,DE,38,50,11,,,,,,,,GaN
384,2018,3,Liu,Dual-band 3-way Doherty Power Amplifier with Extended Back-off Power and Bandwidth,GaN,,2.1,47.78,48,DE,,,,,,20,,,WCDMA(20MHz),,GaN
385,2019,3,Zhou,A Mixed Topology for Broadband High-Efficiency Doherty Power Amplifier,GaN,,2.1,43,70,DE,,,10.5,,,WCDMA 3GPP,37.5,56,,,
386,2019,2,Yang,Bandwidth Extension of Doherty Power Amplifier Using Complex Combining Load With Noninfinity Peaking Impedance,GaN (HEMT),1.1-2.4,2.1,43*,60*,DE,,,10*,LTE (20Mhz),,,37*,45(DE)*,,,
387,2019,6,Nunes,Current Mode Outphasing Power Amplifier,GaN,,2.1,47.5,60,PAE,,,,OFDM(10Mhz),,,,,,,
388,2019,6,Zhu,Compact High-Efficiency High-Power Wideband GaN Amplifier Supporting 395 MHz Instantaneous Bandwidth,GaN,,2.1,55.3,48,DE,,,,ISBW(395MHz),,,47.3,44.3(DE),,,
389,2019,7,Cappello,Supply- and Load-Modulated Balanced Amplifier for Efficient Broadband 5G Base Stations,GaN ,1.6-4,2.1,44,62,PAE,,,,,,,34.2,34(composite PAE),LTE like(100MHz),,CGH40006
390,2019,3,Liu,Dual-band 3-way Doherty Power Amplifier with Extended Back-off Power and Bandwidth,GaN ,,2.1,47.3,60,PAE,,,,,,,37.9,37.5(DE),Concurrent inter-band aggregated 20MHz WCDMA and 20MHz LTE,,CGHV1F40025
391,2020,4,Zhang,Design of a Broadband High-Efficiency Hybrid Class-EFJ Power Amplifier,GaN,,2.1,42.7,66,DE,,,24,,,,,,,,HEMTs CGH40010F
392,2020,9,Zhang,A Broadband High-Efficiency Power Amplifier by Using Branch Line Coupler,GaN,1 GHz - 3 GHz,2.1,42,65,DE,,,14,5MHz 6.5-dB PAPR,,,35.5,32.5,W-CDMA,,CGH40010F
393,2019,2,Yang,Bandwidth Extension of Doherty Power Amplifier Using Complex Combining Load With Noninfinity Peaking Impedance,GaN,1.1-2.4 GHz,2.1,43.3-45.4,55.4-68,DE,,,9.5-11.1,20 MHz LTE,,20,36.5-38.5,42.5-53.5(DE),,,GaN
394,2015,1,Gilabert,3-D Distributed Memory Polynomial Behavioral Model for Concurrent Dual-Band Envelope Tracking Power Amplifier Linearization,GaN,,2.1,,,,,,,,,,28,48.8,Dual Band LTE (10 MHz) + WCDMA,ET,GaN
395,2020,9,Zhang,A Broadband High-Efficiency Power Amplifier by Using Branch Line Coupler,GaN,1 GHz - 3 GHz,2.1,42,65,DE,,,14,5MHz 6.5-dB PAPR,,,35.5,32.5,W-CDMA,,CGH40010F
396,2020,11,Zhou,Broadband Doherty-Like Power Amplifier Using Paralleled Right- and Left-Handed Impedance Transformers,GaN,1.25 GHz - 2.3GHz,2.1,44.5,65,DE,,,10.6,WCDMA 3GPP,,,,40 (DE),WCDMA 3GPP,Analog,HEMT CGH40010F
397,2021,1,Saad,A 65W Power Amplifier Without Load Modulation to Achieve 50% Efficiency at 8dB Power Back-Off over 1.8-2.5 GHz,GaN,1.8 - 2.5 GHz,2.1,48,70,DE,,,14,20MHz LTE,,,40,58 (DE),ACLR = -53.2 dB,Analog,GaN HEMT
398,2022,3,Cao,Continuous-Mode Hybrid Asymmetrical Load_x0002_Modulated Balanced Amplifier With Three-Way Modulation and Multi-Band Reconfigurability,GaN,1.7 - 3.0,2.1,43,81,,,,10,LTE,>'-27 ACLR,20,32,56 (DE),,,CG2H40010F
399,2012,6,Bathich,Wideband Harmonically-Tuned GaN Doherty Power Amplifier,GaN,,2.11,48.5,75,DE,,,,,,,41.5,44(DE),WCDMA,,GaN
400,2022,4,Saad,Doherty Load Modulation Based on Non-Reciprocity,GaN,2.11,2.11,41.1,54,DE,,,13.5,LTE,-31.6,10,,,,,CGHV27030S
401,2006,6,Cho,40 W Gallium-Nitride Microwave Doherty Power Amplifier,GaN ,,2.14,46.02,68,PAE,,,12,,,,,,WCDMA,,GaN HEMT
402,2006,11,Kimball,High-Efficiency Envelope-Tracking W-CDMA Base-Station Amplifier Using GaN HFETs,GaN,,2.14,,,,,,10,,-35.19,,45.7,50.7,WCDMA,,GaN_HFET
403,2007,6,Lee,Applications of GaN HEMTs and SiC MESFETs in High Efficiency Class-E Power Amplifier Design for WCDMAApplications,GaN,,2.14,43,70,PAE,,,13,,,,,,,,GaN
404,2007,6,Hong,High Efficiency GaN HEMT Power Amplifier optimized for OFDM EER Transmitter,GaN,,2.14,,,,,,,,,,40.6,74.9(DE),,,GaN
405,2008,7,Pelk,A High-Efficiency 100-W GaN Three-Way Doherty Amplifier for Base-Station Applications,GaN,,2.14,50,68,PAE,,,,,,,38.5,53,WCDMA,,GaN
406,2008,8,Lee,Unequal-Cells-Based GaN HEMT Doherty Amplifier With an Extended Efficiency Range,GaN,,2.14,46,54.4,PAE,,,13,,,,,,,,GaN
407,2008,1,Kim,Analysis of a Fully Matched Saturated Doherty Amplifier With Excellent Efficiency,GaN,,2.14,43.5,70,DE,,,,,,,36,52.4(DE),WCDMA 1FA,,EGN010MK_GaN_HEMT
408,2008,1,Lee,High-Efficiency Class-F GaN HEMT Amplifier With Simple Parasitic-Compensation Circuit,GaN,,2.14,40.2,70.9,PAE,,,12.2,,,,,,,,GaN
409,2008,9,Lee,Highly Efficient Doherty Amplifier Based on Class-E Topology for WCDMA Applications,GaN,,2.14,40,56.1,PAE,,,,,,,37,44.8,WCDMA,,GaN
410,2009,8,Qureshi,A 90-W Peak Power GaN Outphasing Amplifier With Optimum Input Signal Conditioning,GaN,,2.14,49.5,70,DE,,,,,,,39.5,50.5,WCDNA (3.84Mhz),,GaN
411,2009,6,Lee,Highly Linear and Efficient Asymmetrical Doherty Power Amplifiers with Adaptively Bias-controlled Predistortion Drivers,GaN ,,2.14,45,50,DE,,,29.2,,,,35,37.2(DE),WCDMA,,GaN HEMTs
412,2009,6,Heijden,A Compact 12-Watt High-Efficiency 2.1-2.7 GHz Class-E GaN HEMT Power Amplifier for Base Stations,GaN ,,2.14,40.79,74,PAE,,,14,,,,,,,,GaN HEMT
413,2010,6,Lee,Advanced Design of a Double Doherty Power Amplifier with a Flat Efficiency Range,GaN ,,2.14,44.8,39.6,DE,,,21.3,,,,34.5,,WCDMA,,GaN HEMTs
414,2010,6,Moon,Doherty Amplifier with Envelope Tracking for High Efficiency,GaN ,,2.14,43,70,PAE,,,16.2,,,,,,WCDMA,,GaN HEMT
415,2010,11,Moon,Investigation of a Class-J Power Amplifier With a Nonlinear Cout for Optimized Operation,GaN,,2.14,40.5,77.3,PAE,39,68,,,,,36,50,LTE,Analog,GaN HEMT
416,2011,6, Cidronali,A 240W dual-band 870 and 2140 MHz Envelope Tracking GaN PA designed by a probability distribution conscious approach,GaN ,,2.14,53.96,51,DE,,,,,,,46.8,41.2(DE),WCDMA,,GaN HEMT
417,2011,6,Yamaki,A 65 % Drain Efficiency GaN HEMT with 200 W Peak Power for 20 V to 65 V Envelope Tracking Base Station Amplifier,GaN,,2.14,53.01,50,DE,,,,,,,,,,,GaN
418,2011,6,Lucent,A High-Efficiency 100-W Four-Stage Doherty GaN HEMT Power Amplifier Module for WCDMA Systems,GaN ,,2.14,50,77,DE,,,17,,,,43,61(DE),WCDMA,,GaN HEMT
419,2011,11,Darraji,Digital Doherty Amplifier With Enhanced Efficiency and Extended Range,GaN,,2.14,45,66,DE,39,45,16,,,,36.8,50(DE),,,GaN device
420,2011,6,Moon,A Multimode/Multiband Envelope Tracking Transmitter with Broadband Saturated Power Amplifier,GaN ,,2.14,41.3,67.1,DE,,,15.5,,,,35,37.87,WCDMA,,GaN HEMT
421,2011,6,Grebennikov,High-Efficiency Class E/F Lumped and Transmision-Line Power Amplifiers,GaN,,2.14,40,73.1,PAE,37,58,14.3,,,,,,,,GaN HEMT
422,2012,6,Andersson,Decade Bandwidth High Efficiency GaN HEMT Power Amplifier Designed With Resistive Harmonic Loading,GaN ,,2.14,41,52,DE,,,14,,,,34.5,29,WCDMA,,GaN HEMT
423,2012,6,Wang,Novel wideband GaN HEMT power amplifier using microstrip radial stub to suppress harmonics,GaN,,2.14,40.53,80.52,PAE,37,55,20.25,,,,,,,,GaN HEMT
424,2012,6,Wang,Novel Wideband GaN HEMT Power Amplifier Using Microstrip Radial Stub to Suppress Harmonics,GaN ,,2.14,40.53,80.52,PAE,,,20.1,,,,,,,,GaN HEMT
425,2012,10,Grebennikov,A Dual-Band Parallel Doherty Power Amplifier for Wireless Applications,GaN,,2.14,,,,,,,,,,39,45(DE),WCDMA (5 Mhz),,GaN HEMT
426,2012,6,Kwak,Design of a Wideband High-Voltage High-Efficiency BiCMOS Envelope Amplifier for Micro-Base-Station RF Power Amplifiers,GaN,,2.14,,,,,,10,,,,34,49,WCDMA,,GaN HFET (350nm)
427,2013,6,Heijden,A Package-Integrated 50W High-Efficiency RF CMOS-GaN Class-E Power Amplifier,GaN,,2.14,44.47,76,PAE,,,,,,,,,,,CMOS-GaN
428,2013,12,Nghiem,Design of Concurrent Multiband Doherty Power Amplifiers for Wireless Applications,GaN,,2.14,41.75,52.74,DE,35,45,6,,,,,,,,GaN
429,2013,6,Wang,High Power Added Efficiency Half Mode Substrate Integrated Waveguide Power Amplifier with the Second Harmonic Suppressed,GaN ,,2.14,41.4,71.9,PAE,,,16.9,,,,,,,,GaN HEMT
430,2014,3,Takenaka,High-Efficiency and High-Power Microwave Amplifier Using GaN-on-Si FET With Improved High-Temperature Operation Charateristics,GaN,,2.14,54,70,DE,52,60,15.5,,,,51,48(DE),WCDMA,,GaN FET
431,2014,12,Son,Broadband Saturated Power Amplifier With Harmonic Control Circuits,GaN,,2.14,50,65,DE,,,,,,,44.13,38.9(DE),,,GaN
432,2014,6,Heijden,A Radio-Frequency Reconfigurable CMOS-GaN Class-E Chireix Power Amplifier,GaN,,2.14,41.5,72,DE,,,,,,,,,,,CMOS-GaN
433,2014,3,Lee,A Doherty Power Amplifier With a GaN MMIC for Femtocell Base Stations,GaN,,2.14,41.2,56.2,PAE,,,19.7,,,,,,,,GaN
434,2014,4,Kim,A 2.14-GHz GaN MMIC Doherty Power Amplifier for Small-Cell Base Stations,GaN,,2.14,40.5,58.3,DE,,,,,,,33.2,51.3,LTE,,GaN
435,2015,8,Jeong,Time Mismatch Effect in Linearity of Hybrid Envelope Tracking Power Amplifier,GaN,,2.14,43.1,69.11,DE,,,11.41,,,,,,,,
436,2015,11,Merrick,The Continuous Harmonic-Tuned Power Amplifier,GaN,,2.14,42.7,67.3,DE,,,18.2,,,,,,,,
437,2015,6,Zhu,A Highly Efficient Concurrent Dual-Band Class-F Power Amplifier for Applications at 1.7 and 2.14 GHz,GaN,,2.14,39.8,77.1,PAE,,,,,,,,,,,GaN
438,2016,6,Qureshi,A 112W GaN Dual Input Doherty-Outphasing Power Amplifier,GaN,,2.14,50.5,66,DE,,,,,,,38.5,50(DE),,,GaN
439,2016,12,Hallberg,A Doherty Power Amplifier Design Method for Improved Efficiency and Linearity,GaN,,2.14,43,51,PAE,32,30,10.5,,,,35.5,40,,,GaN HEMT
440,2016,6,Hallberg,Current Scaled Doherty Amplifier for High Efficiency and High Linearity,GaN,,2.14,43,,,,,,,,,35.5,40,LTE (10Mhz),,GaN
441,2017,6,Qureshi,High Efficiency RF Power Amplifiers Featuring Package Integrated Load Insensitive Class-E Devices,GaN,,2.14,46.2,68.79,DE,,,,,,,42.68,66.6(DE),WCDMA,,GaN
442,2017,3,Barakat,Toward a More Generalized Doherty Power Amplifier Design for Broadband Operation,GaN,,2.14,45,71,DE,42,69,11,,,,38.5,49,,,GaN HEMT
443,2017,11,Oh,Doherty Power Amplifier Based on the Fundamental Current Ratio for Asymmetric cells,GaN,,2.14,43,63,PAE,39,60,16.6,,,,36.9,55.7,LTE,,GaN HEMT
444,2017,1,Kalyan,Reconfigurable and Concurrent Dual-Band Doherty Power Amplifier for Multiband and Multistandard Applications,GaN,,2.14,42.5,70,DE,,,7.9,,,,,,,,GaN HEMT
445,2018,11,Watanabe,High-Power High-Efficiency Asymmetric Doherty Amplifiers for Base Station Applications,GaN,,2.14,60,83,DE,,,16,,,,,,,,
446,2018,11,Ceylan,Study on Linearization Performance of Highly Efficient Low-Voltage Biased Driver Including Dual-Stage GaN MMIC,GaN,,2.14,35,76,PAE,,,28.5,,,,,,,,0.25um
447,2018,9,Preis,A High-Efficiency GaN Transistor Module with Thick-Film BST-Based Tunable Matching Network,GaN,,2.14,42.9,64.1,PAE,,,,,,,,,,,
448,2018,8,Liu,A Novel Compensation Circuit of High-Efficiency Concurrent Dual-Band Class-E Power Amplifiers,CGH40010 GaN HEMT,,2.14,40.9,75.9,PAE,,,11,,,,,,,,
449,2018,8,Chang,A Highly Linear Pulse-Modulated Polar Transmitter Using Aliasing-Free Digital PWM for Small-Cell Base Stations,AFT20S015N MoSFET,,2.14,41.8,62,DE,,,,20 MHz LTE,,,35.1,30.5,ACLR=-40.3/-40.1,,
450,2018,10,Koo,GaN-HEMT asymmetric three-way Doherty power amplifier using GPD,GaN,,2.14,44,76,DE,,,13,,,10,37.2,59.5(DE),LTE(10 MHz),,GaN HEMT
451,2022,2,Zhou,A Generic Theory for Design of Efficient Three-Stage Doherty Power Amplifiers,GaN,2.14,2.14,45.3,57,PAE,,,8,20MHz LTE,-29.2 ACLR,20,33.7,46.8,,,GaN HEMT CGH40019F
452,2016,6,Liu,A Concurrent 2.15/3.4 GHz Dual-Band Doherty Power Amplifier with Extended Fractional Bandwidth,GaN,,2.15,47.3,68,DE,,,,,-26.1,,39.5,41.5(DE),9.9*,,GaN
453,2020,8,Pang,Broadband RF-Input Continuous-Mode Load-Modulated Balanced Power Amplifier With Input Phase Adjustment,GaN,1.45 GHz - 2.45 GHz,2.15,57.3,46,PAE,,,12,100MHz 8-dB PAPR,,,37.8,48.6,OFDM,,Wolfspeed CGH40010F HEMT
454,2020,8,Pang,Broadband RF-Input Continuous-Mode Load-Modulated Balanced Power Amplifier With Input Phase Adjustment,GaN,1.45 GHz - 2.45 GHz,2.15,57.3,46,PAE,,,12,100MHz 8-dB PAPR,,,37.8,48.6,OFDM,,Wolfspeed CGH40010F HEMT
455,2013,6,Wu,A Wideband 0.7-2.2 GHz Tunable Power Amplifier with over 64% Efficiency Based on High-Q Second Harmonic Loading,GaN,,2.2,37,70,DE,,,10,,,,,,,,GaN
456,2014,1,Chen,Design of Broadband High-Efficiency Power Amplifiers Based on a Series of Continuous Modes,GaN,,2.2,41,75,PAE,,,,,,,,,,,GaN
457,2014,6,Yang,Continuous Class BJ Power Amplifier with DGS Output Matching,GaN ,,2.2,40.5,65,DE,,,11,,,,,,,,GaN HEMT
458,2015,9,Nghiem,Braodband Sequential Power Amplifier With Doherty--Type Active Load Modultation,GaN,,2.2,41,70,DE,32,50,10,,,,,,,,GaN HEMT
459,2015,2,Thian,High-Efficiency Harmonic-Peaking Class-EF Power Amplifiers With Enhanced Maximum Operating Frequency,GaN,,2.2,39.5,80,PAE,31,42,9.2,,,,,,,,GaN HEMT
460,2016,6,Lim,"High Power, Broadband Class-J PA with Internally Pre-matched FET",GaN,,2.2,47,66.5,PAE,,,,,,,,,,,GaN
461,2016,6,Chen,A Broadband Three-device Doherty Power Amplifier based on a Modified Load Modulation Network,GaN,,2.2,45.4,47,DE,,,11,,,,,,,,GaN
462,2017,6,Chen,A 200 Watt Broadband Continuous-Mode Doherty Power Amplifier for Base-Sation Applications,GaN,,2.2,54.3,63,DE,,,13.7,,,,47,44(DE),LTE (10Mhz),,GaN
463,2017,1,Amirpour,Enhancement of the Broadband Efficiency of a Class-J Power Amplifier With Varactor-based Dynamic Load Modulation,GaN,,2.2,36.6,42,PAE,,,12,,,,31.7,38.2,,,
464,2018,6,Fang,Broadband and Linearity Enhanced Doherty Power Amplifier using Complex-valued Load Modulation,GaN,,2.2,47,55,DE,,,10,,,,37.8,41(DE),WCDMA,,GaN
465,2018,2,Shi,Broadband Counticuous-Mode Doherty Power Amplifiers With Noninfinity Peaking Impedance,GaN,,2.2,45.1,70,DE,,,11,,,,37,58(DE),LTE (20Mhz),,GaN
466,2018,9,Le,Wideband High Efficiency 50 W GaN-HEMT Balanced Power Amplifier,GaN,,2.2,48.7,68,DE,,,13.5,,,,,,,,
467,2018,9,Saad,A 1.8–3.8-GHz Power Amplifier With 40% Efficiency at 8-dB Power Back-Off,GaN,,2.2,46.5,52.5,DE,,,10.5,,,,,,,,
468,2018,1,Wong,High-power high-efficiency broadband GaN HEMT Doherty amplifiers for base station applications,GaN,,2.2,59.5,78,DE,56,60,12,,,,,,,,Sumitomo GaN HEMT
469,2018,5,Wang,Design of GaN HEMT Class-E Power Amplifier for Satellite Communication,GaN,,2.2,41.16,74.8,PAE,,,15.1,,,,,,,,Cree GaN HEMT
470,2018,3,Quaglia,Analysis and characterization of a load modulated balanced amplifier for base-station applications,GaN,,2.2,48.75,47,PAE,,,,,,5,39.4,46,LTE(5MHz),,GaN
471,2019,6,Dhar,Comprehensive Analysis of Input Waveform Shaping for Efficiency Enhancement in Class B Power Amplifiers,GaN,,2.2,52,71,DE,,,,,,,,,,,
